id,keyword,location,text
125,,,"2  Database Life Cycle  Homework CSCE 310 Syllabus – Summer 2022 – Wade 9 | Page  Data Modeling using Entity Relationship Diagram  Connecting to the Postgres GUI  Connecting a Host Language (Java, Python) to PostgreSQL  Intro Relational Model  Normalization: 1NF, 2NF, 3NF  Quiz  Individual Project proposal  Reading: Chap 4."
126,,,to 4.6
127,,,2.1
128,,,2.2
129,,,3.
130,,," Team assignments announced 3  Functional Dependencies  Normalization-Boyce Codd &amp; 4NF  DDL, DML Intro  Constraints in SQL  SQL  Homework  Exam  Peer Feedback  Group Proposal, Conceptual Design, GitHub set-up &amp; Team Working Agreement  Reading: Chap 3.1"
131,,,3.2
132,,,3.3
133,,,2.3
134,,,7.
135,,,to 7.3
136,,,9.
137,,,4  Indices  Views  Triggers  SQL &amp; Host Language JAVA &amp; Python  Stored Procedures  Physical DB Design &amp; Denormalization  Relational Algebra  Transaction Management-Atomicity  Concurrency Control  Recovery  Homework  Quiz  Peer Feedback  Group Logical Design  Reading: Chap 7.5
138,,,"8, 9.3"
139,,,9.4
140,,,9.5
141,,,9.6
142,,,2.4
143,,,2.5
144,,,5.1
145,,,6.6
146,,,17.
147,,,to 17.4
148,,,18.
149,,,to 18.4
150,,,19.
151,,,&amp; 19.
152,,,"5  Semi Structured Data, XML, &amp; NoSQL DBs  DTD &amp; XML Schema  Watch project presentations &amp; write reflections  Exam  Peer Feedback  Minimum Viable Product Code Submission  Group final presentation recording &amp; slides  Recording of individual contribution to the project  Reflections  Reading: Chap 11 6  Watch project presentations &amp; write reflections  Project / Grade Consultation  Quiz  Peer Feedback  Reflections  Group project deliverables: final project report; final documented code &amp; README CSCE 310 Syllabus – Summer 2022 – Wade 10 | Page Other Course Information Items Course Expectations Course expectations, in the form of an online course appreciative agreement, will be reviewed and agreed to in the beginning of the semester"
153,,,"Course Copyright The materials used in this course are copyrighted and include, but not limited to, the syllabus, quizzes, exams, homework, online handouts, video, audio, or other electronic recordings of classes, etc"
154,,,You cannot copy or distribute these materials unless permission is expressly granted
155,,,Any violation constitutes academic misconduct and will be reported to the honors council and result in the application of an appropriate sanction
156,,,Technology Support The working environment will most likely be: 1
157,,,Internet 2
158,,,Zoom (for online Q&amp;A / office hours) and working webcam (for online office hours)
159,,,External webcam or backup device such as mobile is accepted
160,,,3
161,,,Canvas 4
162,,,Computer 5
163,,,"Any operating system: for Windows, recommend Windows’ subsystem for Linux 6"
164,,,PostgreSQL 7
165,,,Your choice of PostgreSQL GUI (e.g.
166,,,"pgadmin, DBeaver, etc."
167,,,8
168,,,Psql – PostgreSQL command line environment 9
169,,,Your choice of programming language (e.g.
170,,,"Java, Python, Ruby, etc."
171,,,that you will connect with PostgreSQL 10
172,,,"GitHub repo for the group-developed software, accessible to all team members, instructor, and the teaching team"
173,,,You will later clone your repo to the provided GitHub classroom repo 11
174,,,Other supplementary online materials (e.g.
175,,,"LinkedIn Learning modules - free using TAMU credentials) For help with technology, please use the online help materials http://it.tamu.ed"
176,,,or contact Help Desk Central at: Email: helpdesk@tamu.ed
177,,,or Phone: (979) 845-8300
178,,,Also feel free to contact TAs as they are familiar with installation and setup of covered technologies in the course
179,,,Learning Resources The Study Hub website lists on-campus learning resources to support students in achieving academic excellence
